motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,remount01-test-2,3,TOP,1,304,304.0,1.7178933333333333,0.03588783405742589,3,1.0
P05,remount01-test-2,3,TOP,2,303,303.0,1.6814166666666666,0.02753350020127002,3,1.0
P05,remount01-test-2,3,TOP,3,254,254.0,1.6282133333333333,0.05657773089593935,3,1.0
P05,remount01-test-2,3,TOP,4,264,264.0,1.62549,0.026430000000000065,3,1.0
P05,remount01-test-2,3,TOP,5,334,334.0,1.6210733333333334,0.022221026828959458,2,0.6666666666666666
P05,remount01-test-2,3,BOTTOM,1,77,77.0,-1.7434066666666668,0.03992241266924298,3,1.0
P05,remount01-test-2,3,BOTTOM,2,76,76.0,-1.7412733333333332,0.03799016495533202,3,1.0
P05,remount01-test-2,3,BOTTOM,3,36,36.0,-1.6049,0.04404609290277621,3,1.0
P05,remount01-test-2,3,BOTTOM,4,37,37.0,-1.5953366666666666,0.020141574748100785,3,1.0
P05,remount01-test-2,3,BOTTOM,5,78,78.0,-1.5372533333333334,0.0365021346407759,3,1.0
P05,remount02-test-2,3,TOP,1,304,304.0,1.66083,0.00650740347604178,3,1.0
P05,remount02-test-2,3,TOP,2,303,303.0,1.5983666666666665,0.010987380640231451,3,1.0
P05,remount02-test-2,3,TOP,3,334,334.0,1.5889466666666667,0.02493310516829652,3,1.0
P05,remount02-test-2,3,TOP,4,254,254.0,1.5815233333333332,0.025391920631045915,3,1.0
P05,remount02-test-2,3,TOP,5,224,224.0,1.541953333333333,0.008689173340044116,1,0.3333333333333333
P05,remount02-test-2,3,BOTTOM,1,76,76.0,-1.8186466666666667,0.007176143346765949,3,1.0
P05,remount02-test-2,3,BOTTOM,2,77,77.0,-1.80764,0.014672855891066308,3,1.0
P05,remount02-test-2,3,BOTTOM,3,37,37.0,-1.6392433333333336,0.013682698320628673,3,1.0
P05,remount02-test-2,3,BOTTOM,4,36,36.0,-1.63798,0.014299409078699667,3,1.0
P05,remount02-test-2,3,BOTTOM,5,78,78.0,-1.6211133333333334,0.00918787425541587,3,1.0
P05,remount03-test-2,3,TOP,1,304,304.0,1.6200566666666667,0.011227895320732779,3,1.0
P05,remount03-test-2,3,TOP,2,334,334.0,1.5828633333333333,0.018580862018037034,3,1.0
P05,remount03-test-2,3,TOP,3,303,303.0,1.5636400000000001,0.002261923959818317,3,1.0
P05,remount03-test-2,3,TOP,4,333,333.0,1.5539133333333333,0.023168138322561295,2,0.6666666666666666
P05,remount03-test-2,3,TOP,5,254,254.0,1.5377600000000002,0.018620394732658044,3,1.0
P05,remount03-test-2,3,BOTTOM,1,76,76.0,-1.880963333333333,0.02582793900669065,3,1.0
P05,remount03-test-2,3,BOTTOM,2,77,77.0,-1.8391533333333332,0.016766640490370556,3,1.0
P05,remount03-test-2,3,BOTTOM,3,36,36.0,-1.6972633333333331,0.03036192407166146,3,1.0
P05,remount03-test-2,3,BOTTOM,4,78,78.0,-1.6723466666666666,0.010595255227380524,3,1.0
P05,remount03-test-2,3,BOTTOM,5,37,37.0,-1.6493099999999998,0.0306968385994389,3,1.0
